scanID,Status,Frame0,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,3dPose,Subset,npIndex
8cea8a97c4c321b220ae47533dc4d55f,complete,"{'REb': [95, 154, 0.0], 'RSh': [176, 190, 2.0], 'RWr': [158, 81, 0.5], 'LAk': [343, 646, 0.0], 'LKe': [325, 520, 0.0], 'LHp': [313, 370, 0.0], 'LSh': [319, 197, 0.0], 'LEb': [406, 158, 0.0], 'LWr': [338, 78, 0.0], 'Nk': [251, 211, 0.0], 'MHp': [254, 382, 4.0], 'RAk': [157, 649, 1.5], 'RKe': [177, 525, 3.5], 'RHp': [187, 370, 0.0]}","{'MHp': [246, 374, 4.0], 'RAk': [180, 646, 1.5], 'REb': [109, 154, 0.0], 'RHp': [193, 370, 0.0], 'RKe': [189, 518, 3.5], 'RSh': [199, 194, 2.0], 'RWr': [179, 82, 0.5], 'LAk': [357, 628, 0], 'LKe': [336, 525, 0], 'LHp': [306, 364, 0], 'LSh': [342, 193, 0], 'LEb': [411, 157, 0], 'LWr': [354, 82, 0], 'Nk': [258, 209, 0]}","{'LAk': [363, 620, 4.0], 'LEb': [408, 154, 1.5], 'LHp': [293, 361, 1.5], 'LKe': [326, 526, 0.5], 'LSh': [344, 190, 1.5], 'LWr': [354, 88, 3.0], 'Nk': [265, 209, 0.0], 'RAk': [218, 636, 0], 'RHp': [198, 373, 0], 'RKe': [199, 522, 0]}","{'LAk': [346, 630, 4.19], 'LEb': [370, 147, 6.08], 'LHp': [270, 358, 3.11], 'LKe': [291, 522, 3.53], 'LSh': [332, 192, 0.35], 'LWr': [330, 85, 1.68]}","{'LAk': [314, 641, 11.43], 'LEb': [326, 153, 1.15], 'LHp': [249, 360, 0.85], 'LKe': [263, 524, 0.91], 'LSh': [309, 192, 0.26], 'LWr': [297, 89, 3.29]}","{'LAk': [266, 642, 11.37], 'LEb': [262, 153, 1.81], 'LHp': [230, 361, 1.42], 'LKe': [234, 524, 2.57], 'LSh': [278, 194, 1.81], 'LWr': [263, 82, 3.47]}","{'LAk': [232, 645, 0], 'LEb': [158, 155, 0], 'LHp': [217, 343, 0], 'LKe': [223, 518, 0], 'LSh': [254, 207, 0], 'LWr': [214, 89, 0], 'Nk': [304, 194, 0], 'RAk': [379, 648, 0], 'RHp': [321, 350, 0], 'RKe': [336, 526, 0]}","{'LAk': [209, 649, 0], 'LEb': [125, 155, 0], 'LHp': [208, 348, 0], 'LKe': [185, 516, 0], 'LSh': [217, 208, 0], 'LWr': [175, 87, 0], 'MHp': [282, 360, 0], 'Nk': [286, 193, 0], 'RAk': [375, 652, 0], 'REb': [410, 156, 0], 'RHp': [318, 353, 0], 'RKe': [351, 520, 0], 'RSh': [357, 197, 0], 'RWr': [363, 87, 0]}","{'LAk': [156, 648, 0], 'LEb': [111, 154, 0], 'LHp': [204, 344, 0], 'LKe': [169, 517, 0], 'LSh': [185, 209, 0], 'LWr': [149, 87, 0], 'MHp': [262, 357, 0], 'Nk': [265, 193, 0], 'RAk': [346, 650, 0], 'REb': [407, 153, 0], 'RHp': [306, 351, 0], 'RKe': [348, 523, 0], 'RSh': [338, 198, 0], 'RWr': [341, 87, 0]}","{'LAk': [146, 645, 0], 'LEb': [90, 155, 0], 'LHp': [198, 348, 0], 'LKe': [169, 521, 0], 'LSh': [157, 192, 0], 'LWr': [149, 92, 0], 'MHp': [239, 351, 0], 'Nk': [225, 199, 0], 'RAk': [315, 655, 0], 'REb': [403, 157, 0], 'RHp': [288, 348, 0], 'RKe': [318, 522, 0], 'RSh': [308, 194, 0], 'RWr': [322, 83, 0]}","{'LAk': [135, 648, 0], 'LHp': [198, 347, 0], 'LKe': [172, 524, 0], 'Nk': [205, 197, 0], 'RAk': [264, 654, 0], 'REb': [341, 154, 0], 'RHp': [256, 344, 0], 'RKe': [284, 518, 0], 'RSh': [272, 194, 0], 'RWr': [300, 82, 0]}","{'RAk': [209, 653, 0], 'REb': [269, 156, 0], 'RHp': [230, 353, 0], 'RKe': [244, 524, 0], 'RSh': [236, 192, 0], 'RWr': [270, 82, 0]}","{'RAk': [167, 652, 0], 'REb': [220, 151, 0], 'RHp': [204, 350, 0], 'RKe': [211, 526, 0], 'RSh': [205, 194, 0], 'RWr': [236, 83, 0]}","{'RAk': [149, 646, 0], 'REb': [152, 156, 0], 'RHp': [208, 349, 0], 'RKe': [177, 522, 0], 'RSh': [180, 196, 0], 'RWr': [204, 80, 0]}","{'LAk': [281, 648, 0], 'LHp': [295, 366, 0], 'LKe': [296, 536, 0], 'Nk': [231, 212, 0], 'RAk': [128, 646, 0], 'REb': [106, 152, 0], 'RHp': [196, 354, 0], 'RKe': [159, 520, 0], 'RSh': [164, 192, 0], 'RWr': [176, 80, 0]}","{'LAk': [323, 648, 0], 'LEb': [391, 158, 0], 'LHp': [314, 360, 0], 'LKe': [319, 524, 0], 'LSh': [308, 191, 0], 'LWr': [325, 85, 0], 'MHp': [283, 352, 0], 'Nk': [265, 221, 0], 'RAk': [142, 650, 0], 'REb': [87, 153, 0], 'RHp': [200, 352, 0], 'RKe': [166, 524, 0], 'RSh': [164, 194, 0], 'RWr': [167, 78, 0]}","{'Nk': (20, 207, 304, 44.34), 'RSh': (-76, 193, 308, 11.45), 'REb': (-167, 154, 299, 38.16), 'RWr': (-85, 81, 278, 20.13), 'RHp': (-44, 350, 298, 42.63), 'RKe': (-84, 522, 303, 26.39), 'RAk': (-92, 650, 340, 38.3), 'MHp': (23, 351, 242, 1.0), 'LSh': (81, 191, 317, 1.0), 'LEb': (162, 156, 296, 3.0), 'LWr': (95, 88, 305, 7.0), 'LHp': (64, 355, 266, 34.81), 'LKe': (83, 526, 287, 22.71), 'LAk': (98, 647, 321, 15.11)}",train,670.0
f553dc398064f86e9bb3fa06895aabec,,"{'LAk': [354, 646, 0.0], 'LEb': [389, 205, 0.0], 'LHp': [307, 390, 0.0], 'LKe': [322, 544, 0.0], 'LSh': [321, 234, 0.0], 'LWr': [354, 144, 0.0], 'MHp': [251, 396, 0.0], 'Nk': [252, 243, 0.0], 'RAk': [160, 641, 0.0], 'REb': [110, 206, 0.0], 'RHp': [203, 392, 0.0], 'RKe': [186, 540, 0.0], 'RSh': [180, 236, 0.0], 'RWr': [141, 148, 0.0]}","{'LAk': [358, 644, 1.0], 'LEb': [384, 200, 2.5], 'LHp': [300, 392, 1.0], 'LKe': [332, 542, 1.0], 'LSh': [339, 242, 4.0], 'LWr': [333, 140, 2.0], 'MHp': [242, 395, 0.5], 'Nk': [264, 252, 4.5], 'RAk': [182, 643, 1.0], 'REb': [129, 205, 0.5], 'RHp': [213, 395, 1.5], 'RKe': [206, 544, 2.0], 'RSh': [206, 233, 1.5], 'RWr': [152, 150, 1.0]}","{'LAk': [344, 647, 1.41], 'LEb': [375, 198, 4.15], 'LHp': [292, 391, 1.05], 'LKe': [321, 546, 2.65], 'LSh': [328, 237, 3.1], 'LWr': [309, 141, 1.74], 'Nk': [272, 246, 1.12], 'RAk': [217, 640, 1.37], 'RHp': [222, 400, 4.55], 'RKe': [228, 546, 2.86]}","{'LAk': [315, 646, 1.16], 'LEb': [326, 205, 4.93], 'LHp': [277, 390, 1.11], 'LKe': [310, 546, 1.92], 'LSh': [315, 240, 1.91], 'LWr': [276, 145, 3.04]}","{'LAk': [288, 643, 4.42], 'LEb': [274, 202, 3.34], 'LHp': [252, 392, 2.76], 'LKe': [282, 549, 3.96], 'LSh': [292, 241, 2.2], 'LWr': [233, 142, 1.64]}","{'LAk': [246, 647, 1.65], 'LEb': [224, 204, 1.67], 'LHp': [231, 385, 5.59], 'LKe': [256, 543, 2.01], 'LSh': [257, 238, 3.67], 'LWr': [199, 144, 1.36]}","{'LAk': [212, 644, 3.21], 'LEb': [168, 200, 5.69], 'LHp': [221, 388, 3.03], 'LKe': [230, 543, 2.28], 'LSh': [233, 240, 2.07], 'LWr': [173, 144, 1.16], 'Nk': [282, 246, 0], 'RAk': [352, 640, 0], 'RHp': [305, 392, 0], 'RKe': [325, 545, 0]}","{'LAk': [180, 649, 3.39], 'LEb': [138, 202, 0.49], 'LHp': [208, 392, 2.0], 'LKe': [204, 545, 0.64], 'LSh': [205, 239, 0.13], 'LWr': [159, 145, 1.88], 'MHp': [264, 398, 0], 'Nk': [272, 245, 0], 'RAk': [356, 648, 0], 'REb': [397, 208, 0], 'RHp': [306, 391, 0], 'RKe': [332, 544, 0], 'RSh': [347, 236, 0], 'RWr': [362, 151, 0]}","{'LAk': [160, 648, 2.03], 'LEb': [119, 200, 1.84], 'LHp': [205, 385, 4.44], 'LKe': [188, 546, 1.24], 'LSh': [185, 240, 1.54], 'LWr': [157, 142, 2.53], 'MHp': [259, 392, 0], 'Nk': [260, 247, 0], 'RAk': [355, 648, 0], 'REb': [400, 202, 0], 'RHp': [307, 391, 0], 'RKe': [328, 542, 0], 'RSh': [332, 232, 0], 'RWr': [371, 144, 0]}",,,,,,,,,train,1194.0
f03b8634f43016d4a5059b5d5484a688,,,,,,,,,,,,,,,,,,,train,1171.0
a19b143254852a5418a8cfdbe6d4d5cd,,,,,,,,,,,,,,,,,,,train,772.0
423c80e97b7318ef23c2eca3da2b000c,,,,,,,,,,,,,,,,,,,train,292.0
1bb32f6a0d5829633a8b0d531aa201e7,,,,,,,,,,,,,,,,,,,train,125.0
82bc59130f8a6f11022cd90a91acdf0a,,,,,,,,,,,,,,,,,,,train,593.0
cce55cf0574448bbd16697167f212845,,,,,,,,,,,,,,,,,,,train,1000.0
b53eee6d51543953cdc99756df81e3fb,,,,,,,,,,,,,,,,,,,train,873.0
cdc104378c343877da1d94fcd94819fe,,,,,,,,,,,,,,,,,,,train,1006.0
